YEAR;Team;G;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Rk;Age;W%;L%;PW;PL;MOV;SOS;ORtg;DRtg;Pace;FTr;3PAr;TS%;OFeFG%;OfTOV%;ORB%;Of FT/FGA;DEFeFG%;DefTOV%;DRB%;Def FT/FGA;Arena;Attend.;Champion
21-22;Atlanta Hawks;82;240.3;41.5;88.3;47;12.9;34.4;37.4;28.6;53.9;53.1;18.1;22.3;81.2;10;33.9;44;24.6;7.2;4.2;11.9;18.7;113.9;14;26.1;0.524390244;0.475609756;0.548780488;0.451219512;1.56;-0.01;116.5;114.9;97.7;253;390;58.1;54.3;10.8;23;205;54.3;11.5;76.9;177;State Farm Arena;672,742;0
89-90;Atlanta Hawks;82;240.6;41.7;85.6;48.7;1.5;5.0;30.2;40.2;80.6;49.8;23.7;31.0;76.4;15.5;26.7;42.2;22.2;8.7;4.3;15.5;22.8;108.5;14;28.6;0.5;0.5;0.536585366;0.463414634;1.02;-0.39;113.0;111.9;95.8;362;59;54.7;49.6;13.5;36.3;277;50.9;14.0;65.5;254;Omni Coliseum;573.711;0
91-92;Atlanta Hawks;82;242.7;42.6;91.2;46.7;2.6;8.2;31.3;40.0;83.0;48.2;18.5;25.3;73.1;15.7;30.5;46.2;25.9;9.7;3.9;15.3;21.6;106.2;16;27.2;0.463414634;0.536585366;0.451219512;0.548780488;-1.50;0.35;107.3;108.9;97.8;277;90;51.9;48.1;13.0;33.6;203;49.7;13.2;68.3;209;Omni Coliseum;511.803;0
02-03;Atlanta Hawks;82;242.7;34.9;78.5;44.4;4.9;13.9;35.2;30.0;64.5;46.4;19.4;24.5;79.3;11.4;31.2;42.6;20.5;7.5;5.8;16.7;21.7;94.1;23;27.2;0.426829268;0.573170732;0.37804878;0.62195122;-3.56;-0.31;102.3;106.1;91.0;313;177;52.7;47.6;15.7;27.9;248;46.9;12.1;70.4;222;Philips Arena;528.655;0
84-85;Atlanta Hawks;82;242.1;42.0;86.8;48.4;0.9;2.9;31.1;41.1;84.0;49;21.7;28.9;75.2;14.2;28.6;42.8;24.5;8.1;6.6;18.0;25.0;106.6;15;25.5;0.414634146;0.585365854;0.451219512;0.548780488;-1.45;0.31;105.9;107.3;99.8;333;33;53.6;48.9;15.3;32.5;250;48.5;15.2;63.8;249;Omni Coliseum;290.746;0
01-02;Atlanta Hawks;82;241.2;35.4;80.6;43.9;5.2;14.6;35.4;30.2;66.0;45.8;18.1;23.7;76.5;11.6;29.8;41.5;20.2;8.1;4.3;15.5;20.8;94.0;24;25.7;0.402439024;0.597560976;0.353658537;0.646341463;-4.23;-0.18;101.8;106.4;91.9;294;181;51.7;47.1;14.6;27.5;225;49.5;14.1;70.9;218;Philips Arena;506.11;0
80-81;Atlanta Hawks;82;243.0;40.1;83.7;47.9;0.1;1.0;12.2;40.0;82.7;48.4;24.5;31.6;77.7;14.6;27.1;41.8;22.5;9.1;5.7;19.6;27.8;104.9;18;26.8;0.37804878;0.62195122;0.402439024;0.597560976;-3.10;0.73;104.3;107.3;99.4;377;12;53.7;48;16.7;34.1;293;49.8;17.3;64.8;295;Omni Coliseum;362.699;0
06-07;Atlanta Hawks;82;242.4;34.5;77.7;44.4;4.2;12.7;32.9;30.4;65.0;46.7;20.5;26.9;76.1;11.9;28.2;40.1;19.2;7.4;5.4;15.9;24.0;93.7;29;24.1;0.365853659;0.634146341;0.329268293;0.670731707;-4.76;-0.10;103.0;108.3;90.0;346;163;52.3;47.1;15.1;29.2;263;50.3;14.5;70.9;268;Philips Arena;639.375;0
18-19;Atlanta Hawks;82;242.1;41.4;91.8;45.1;13.0;37.0;35.2;28.4;54.8;51.8;17.6;23.4;75.2;11.6;34.5;46.1;25.8;8.2;5.1;17.0;23.6;113.3;26;25.1;0.353658537;0.646341463;0.329268293;0.670731707;-6.02;-0.04;108.1;113.9;103.9;255;403;55.5;52.2;14.3;24.7;192;54.1;12.8;76.4;237;State Farm Arena;628.44;0
03-04;Atlanta Hawks;82;242.7;34.5;79.6;43.3;5.1;15.2;33.5;29.4;64.4;45.6;18.7;24.1;77.6;12.1;30.6;42.7;20.1;7.6;5.0;16.5;22.3;92.8;26;26.2;0.341463415;0.658536585;0.341463415;0.658536585;-4.65;-0.36;101.0;106.1;90.8;303;191;51.4;46.5;15.4;28.6;235;47.6;13.1;70.5;234;Philips Arena;565.728;0
